Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
11,0.3,Early,Drone 3,Success,1.8574,1597.7101,4.0135,3636.1,29.75,0,99.14
11,0.3,Early,Drone 4,Success,2.2445,2081.0491,3.9161,3667.76,33.7,0,99.14
62,0.3,Normal,Drone 0,Success,1.371,2100.9656,4.003,3465.7,33.7,0,99.5
62,0.3,Normal,Drone 1,Success,1.2492,2303.5648,4.0038,3982.3,38.9,0,99.5
62,0.3,Normal,Drone 2,Success,1.4614,2338.64,3.9936,3907.75,38.35,0,99.5
62,0.3,Normal,Drone 3,Success,1.2293,1445.2465,3.7115,2923.33,28.5,0,99.5
62,0.3,Normal,Drone 4,Success,1.2796,2487.3914,3.9659,4419.89,43.3,0,99.5
62,0.3,Early,Drone 0,Success,2.108,2153.185,4.0083,3781.79,29.35,0,99.44
62,0.3,Early,Drone 1,Success,2.2626,2349.4754,4.0114,3791.09,33.5,0,99.44
62,0.3,Early,Drone 2,Success,2.1149,2327.9503,4.0007,3774.83,32.05,0,99.44
62,0.3,Early,Drone 3,Success,1.752,1508.7919,3.7239,3747.92,24.9,0,99.44
62,0.3,Early,Drone 4,Success,1.8866,2544.0598,3.9774,3812.5,37.05,0,99.44
