Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct, Solve_Time
48,0.3,Early,Drone 0,Success,1.8214,6569.919,0.3667,3798.24,30.95,0,98.4,0.016365
48,0.3,Early,Drone 1,Success,1.6228,9660.9538,0.428,3827.6,33.2,0,98.4,0.016365
48,0.3,Early,Drone 2,Success,2.1633,4965.7936,0.2532,3800.66,33.35,0,98.4,0.016365
48,0.3,Early,Drone 3,Success,1.9157,3317.8693,0.461,3814.49,28.85,0,98.4,0.016365
48,0.3,Early,Drone 4,Success,2.0106,8619.2675,0.3154,3834.4,37.45,0,98.4,0.016365
82,0.3,Normal,Drone 0,Success,1.7598,14244.15,0.22,4186.78,41.05,0,99.62,0.017846
82,0.3,Normal,Drone 1,Success,1.0659,5159.7011,0.2468,3040.55,29.55,0,99.62,0.017846
82,0.3,Normal,Drone 2,Success,1.3145,11194.9395,0.2307,4915.43,48.1,0,99.62,0.017846
82,0.3,Normal,Drone 3,Success,1.0747,4243.4335,0.2273,2971.0,29.25,0,99.62,0.017846
82,0.3,Normal,Drone 4,Success,1.2349,6422.9517,0.2082,4486.31,43.85,0,99.62,0.017846
82,0.3,Early,Drone 0,Success,2.4856,14217.8543,0.356,4251.97,36.15,0,99.56,0.027183
82,0.3,Early,Drone 1,Success,1.7774,5360.3752,0.2968,4239.8,31.1,0,99.56,0.027183
82,0.3,Early,Drone 2,Success,2.0129,11031.9564,0.3508,4301.04,41.85,0,99.56,0.027183
82,0.3,Early,Drone 3,Success,1.7882,3987.5229,0.3399,4179.54,24.8,0,99.56,0.027183
82,0.3,Early,Drone 4,Success,1.9888,6396.02,0.3711,4274.12,38.4,0,99.56,0.027183
26,0.3,Normal,Drone 0,Success,1.2156,6471.519,0.2287,4114.46,40.25,0,99.59,0.02252
26,0.3,Normal,Drone 1,Success,1.7074,3277.552,0.2985,3049.36,29.6,0,99.59,0.02252
26,0.3,Normal,Drone 2,Success,1.1772,4936.6865,0.2526,3605.93,35.4,0,99.59,0.02252
26,0.3,Normal,Drone 3,Success,1.1992,3995.6858,0.2399,4388.92,42.9,0,99.59,0.02252
26,0.3,Normal,Drone 4,Success,1.4269,7742.7497,0.1977,4088.66,40.35,0,99.59,0.02252
26,0.3,Early,Drone 0,Success,1.9145,6139.3694,0.3317,3904.24,35.6,0,99.36,0.024774
26,0.3,Early,Drone 1,Success,1.7957,4123.0404,0.4555,3870.27,27.1,0,99.36,0.024774
26,0.3,Early,Drone 2,Success,1.9074,6166.6112,0.3851,3872.68,33.5,0,99.36,0.024774
26,0.3,Early,Drone 3,Success,1.8075,3487.6541,0.3747,3931.11,38.15,0,99.36,0.024774
26,0.3,Early,Drone 4,Success,2.1227,9643.421,0.3076,3872.32,35.15,0,99.36,0.024774
64,0.3,Normal,Drone 0,Success,1.3763,4848.0994,0.2903,3688.99,36.05,0,99.56,0.022113
64,0.3,Normal,Drone 1,Success,1.8561,5040.1151,0.2231,4084.84,40.2,0,99.56,0.022113
64,0.3,Normal,Drone 2,Success,1.1376,9335.3823,0.2523,4826.82,47.35,0,99.56,0.022113
64,0.3,Normal,Drone 3,Success,1.2376,17998.3736,0.2127,3597.15,35.15,0,99.56,0.022113
64,0.3,Normal,Drone 4,Success,1.2467,6140.7447,0.2233,3018.57,29.45,0,99.56,0.022113
64,0.3,Early,Drone 0,Success,1.6244,5473.4432,0.4573,4180.99,32.1,0,99.37,0.020084
64,0.3,Early,Drone 1,Success,2.2746,4820.5965,0.3631,4182.43,35.15,0,99.37,0.020084
